"   ","LEG_NO","MASTER_FLIGHT_NO","ACTUAL_DEPARTURE_DT","ACTUAL_ARRIVAL_DT","AC_REG_CD","ASSMBL_CD","LOC_CD","LOC_CD"
"1","QFA0094","QFA0094","23/04/2019 5:34:00 AM","23/04/2019 8:51:00 PM","VH-OQG","380","MEL","LAX"
"2","QFA0012","QFA0012","23/04/2019 5:37:00 AM","23/04/2019 8:22:00 PM","VH-OQC","380","SYD","LAX"
"3","QFA0002","QFA0002","23/04/2019 11:34:00 AM","23/04/2019 7:10:00 PM","VH-OQA","380","SYD","SIN"
"4","QFA0002","QFA0002","23/04/2019 8:01:00 PM","24/04/2019 9:18:00 AM","VH-OQB","380","SIN","LHR"
"5","QFA0093","QFA0093","23/04/2019 11:01:00 PM","24/04/2019 1:26:00 PM","VH-OQE","380","LAX","MEL"
"6","QFA0036","QFA0036","23/04/2019 12:12:00 PM","23/04/2019 7:25:00 PM","VH-OQE","380","MEL","SIN"
"7","QFA0035","QFA0035","23/04/2019 1:50:00 AM","23/04/2019 9:15:00 AM","VH-OQE","380","SIN","MEL"
"8","QFA6012","QFA6012","23/04/2019 10:18:00 AM","23/04/2019 11:44:00 AM","VH-OQF","380","SYD","BNE"
"9","QFA6002","QFA6002","23/04/2019 3:44:00 AM","23/04/2019 5:13:00 AM","VH-OQF","380","BNE","SYD"
"10","QFA0011","QFA0011","23/04/2019 11:41:00 PM","24/04/2019 1:11:00 PM","VH-OQJ","380","LAX","SYD"
"11","QFA0008","QFA0008","23/04/2019 3:29:00 AM","23/04/2019 8:24:00 PM","VH-OQJ","380","SYD","DFW"
"12","QFA0001","QFA0001","23/04/2019 3:54:00 PM","24/04/2019 5:55:00 AM","VH-OQK","380","LHR","SIN"
"13","QFA0001","QFA0001","23/04/2019 5:57:00 AM","23/04/2019 1:53:00 PM","VH-OQK","380","SIN","SYD"
"14","QFA0870","QFA0870","23/04/2019 10:21:00 PM","24/04/2019 1:03:00 AM","VH-XZI","N37","HTI","MEL"
