"   ","LEG_NO","MASTER_FLIGHT_NO","ACTUAL_DEPARTURE_DT","ACTUAL_ARRIVAL_DT","AC_REG_CD","ASSMBL_CD","LOC_CD","LOC_CD"
"1","QFA0126","QFA0126","23/04/2020 3:58:00 AM","23/04/2020 7:10:00 AM","VH-ZNJ","787","BNE","AKL"
"2","QFA7398","QFA7398","23/04/2020 1:19:00 AM","23/04/2020 4:41:00 AM","VH-XNH","737","MEL","PER"
"3","QFA7354","QFA7354","23/04/2020 10:18:00 AM","23/04/2020 11:28:00 AM","VH-XNH","737","SYD","MEL"
"4","QFA0858","QFA0858","23/04/2020 4:58:00 AM","23/04/2020 6:48:00 AM","VH-XZE","N37","DRW","ASP"
"5","QFA0790","QFA0790","23/04/2020 1:08:00 AM","23/04/2020 4:06:00 AM","VH-XZE","N37","ASP","SYD"
"6","QFA0010","QFA0010","23/04/2020 5:27:00 AM","23/04/2020 8:39:00 AM","VH-ZNI","787","MEL","PER"
"7","QFA7321","QFA7321","23/04/2020 8:42:00 AM","23/04/2020 9:25:00 AM","VH-XML","737","CNS","TSV"
"8","QFA7313","QFA7313","23/04/2020 10:30:00 AM","23/04/2020 12:30:00 PM","VH-XML","737","BNE","CNS"
"9","QFA1387","QFA1387","23/04/2020 12:01:00 AM","23/04/2020 1:47:00 AM","VH-VYZ","N37","PER","KFE"
"10","QFA1389","QFA1389","23/04/2020 12:22:00 AM","23/04/2020 1:56:00 AM","VH-VZJ","N37","PER","SLJ"
"11","QFA1349","QFA1349","23/04/2020 7:24:00 AM","23/04/2020 9:08:00 AM","VH-VZO","N37","PER","KTA"
"12","QFA1348","QFA1348","23/04/2020 4:42:00 AM","23/04/2020 6:36:00 AM","VH-VZO","N37","KTA","PER"
"13","QFA7376","QFA7376","23/04/2020 9:48:00 AM","23/04/2020 10:16:00 AM","VH-XMR","737","LST","HBA"
"14","QFA7365","QFA7365","23/04/2020 10:48:00 AM","23/04/2020 11:37:00 AM","VH-XMR","737","MEL","LST"
"15","QFA0448","QFA0448","23/04/2020 4:05:00 AM","23/04/2020 5:09:00 AM","VH-VZM","N37","SYD","MEL"
"16","QFA0437","QFA0437","23/04/2020 1:32:00 AM","23/04/2020 2:57:00 AM","VH-VZM","N37","MEL","SYD"
"17","QFA1379","QFA1379","23/04/2020 2:09:00 AM","23/04/2020 4:00:00 AM","VH-VZP","N37","PER","PHE"
"18","QFA0571","QFA0571","23/04/2020 8:10:00 AM","23/04/2020 12:55:00 PM","VH-QPB","330","PER","SYD"
"19","QFA0642","QFA0642","23/04/2020 2:40:00 AM","23/04/2020 6:27:00 AM","VH-QPF","330","SYD","PER"
"20","QFA0614","QFA0614","23/04/2020 12:52:00 AM","23/04/2020 2:45:00 AM","VH-QPI","330","BNE","MEL"
"21","QFA0778","QFA0778","23/04/2020 4:59:00 AM","23/04/2020 8:19:00 AM","VH-QPG","330","MEL","PER"
"22","QFA1315","QFA1315","23/04/2020 12:26:00 AM","23/04/2020 2:18:00 AM","VH-XZM","N37","PER","KTA"
"23","QFA1321","QFA1321","23/04/2020 3:34:00 AM","23/04/2020 5:22:00 AM","VH-XZP","N37","PER","KTA"
"24","QFA1320","QFA1320","23/04/2020 12:53:00 AM","23/04/2020 2:47:00 AM","VH-XZP","N37","KTA","PER"
